name,parameter_in_formula,description,url,api_endpoint,notes
JRC GHSL - Global Human Settlement Layer,P_built-up,"Satellite-derived built-up surface area grids at global scale. Provides more accurate built-up land estimates than low-resolution alternatives.",https://human-settlement.emergency.copernicus.eu/GHSLWeGenerateData.php,,"Products: GHS-BUILT-S (built-up surface grids), EMC-BUILT (exposure mapping). Also on Google Earth Engine under tag 'ghsl'."
CORINE Land Cover,P_built-up / Land_use_Europe,"European land cover classification at 25ha resolution. Used for detailed built-up land and land-use-change tracking in European countries.",https://land.copernicus.eu/en/products/corine-land-cover,,"Select year (e.g. CLC 2018), download vector/raster. European coverage only."
GTAP Database - Global Trade Analysis Project,CLUM / MRIO,"Multi-Regional Input-Output tables linking economic sectors across countries. Used to construct Consumption-Land-Use Matrices (CLUM) allocating Footprint to final consumption categories.",https://www.gtap.agecon.purdue.edu/,,"GTAP 12 (latest) or GTAP 10 (version used by Global Footprint Network). Covers ~80 countries. Licensed database from Purdue University."
Sea Around Us - Fisheries Trophic Data,PPR / Trophic_level,"Primary Production Requirement (PPR) per species and trophic level data. Converts fish catch tonnage into the biocapacity of fishing grounds needed to sustain that catch.",https://www.seaaroundus.org/data/,,"Advanced Search > filter by EEZ for Tonnage/Value and PPR. Based on Pauly et al. methodology for fishing down food webs."
UNECE - Temperate and Boreal Forest Resource Assessment,Forest_growth_rate_temperate,"Growth rates and standing stock for temperate and boreal forests. Complements IPCC tropical data to estimate global average forest sequestration capacity.",https://unece.org/forests/fra,,"Temperate and Boreal Forest Resource Assessment 2000 (UNECE/FAO). Used alongside IPCC tropical growth rates."
Global Footprint Network - National Footprint and Biocapacity Accounts,All / Reference_accounts,"Pre-computed national Ecological Footprint and biocapacity results for ~194 countries from 1961 to present. Uses ~15,000 data points per country per year from all above sources.",https://data.footprintnetwork.org/,,"2019 edition covers data through 2016. Now co-maintained with York University (Toronto). Public data explorer available; full dataset licensed."
FAO GLEAM - Global Livestock Environmental Assessment Model,Feed_demand / TFR,"Detailed metabolic coefficients for maintenance, activity, and production (meat/milk) across livestock species and regional production systems. Estimates energy redirected through feed into animal outputs. Core input for separating crop-based feed from pasture-based grazing.",https://www.fao.org/gleam/en/,,"Model documentation and regionalized parameter tables. GLEAM 3.0 covers cattle, buffalo, sheep, goats, pigs, chickens. Provides dry-matter feed intake by source (pasture, crop, residue)."
SAGE - Global Grassland NPP,Y_W_grass / Grassland_NPP,"Global gridded datasets for net primary production (NPP) and land use from Center for Sustainability and the Global Environment (SAGE), University of Wisconsin-Madison. World-average grass yield ~2.45 tonnes dry matter per hectare per year.",https://sage.nelson.wisc.edu/data-and-models/,,"Based on Monfreda et al. (2008). Also available through GAEZ/FAO gridded data. Provides above-ground edible NPP needed to convert livestock feed demand to grazing hectares."
FishBase - Trophic Level Data,Trophic_level / PPR,"Fractional trophic levels for over 35,000 fish species, ranging from 1.0 (algae) to 4.2+ (top predators like tuna). Required to compute Primary Production Requirement (PPR) per species for fishing ground Footprint.",https://www.fishbase.org,https://fishbase.ropensci.org/,"Search species > Biology > Trophic Ecology for ecology table. REST API available via rfishbase/fishbaseapi for batch queries."
Sea Around Us - PPR Parameters,PPR / Transfer_efficiency / Discard_rate,"Standardized parameters for transfer efficiency (10.13%) and wet-weight-to-carbon conversion ratio (9:1). Spatial catch data by EEZ. Used to convert fish catch tonnage into primary production required.",https://www.seaaroundus.org/data/,https://api.seaaroundus.org/api/v1/,"API provides catch data by EEZ, LME, or High Seas. Advanced Search for tonnage and PPR by species group."
FAO SOFIA - State of World Fisheries and Aquaculture,Sustainable_catch / MSY,"Current assessments of sustainable vs. unsustainable fish stocks. Builds on historical Gulland (1971) reference of 93 million tonnes/year for global marine capture. Biennial report on fisheries status.",https://www.fao.org/publications/sofia/en/,,"Download biennial SOFIA reports. Key reference for maximum sustainable yield (MSY) and stock status by FAO fishing area."
GAEZ v4 - Suitability Indexes,Equivalence_Factor / Suitability_Index,"FAO/IIASA Global Agro-Ecological Zones v4. Suitability indices (SI) and agro-ecological attainable yields for 53 crops based on soil, terrain, and climatic conditions. Required for time-varying EQF computation.",https://gaez.fao.org/,,"Theme 4: Suitability and Attainable Yield. Download raw raster (.tif) or export attribute tables as .csv. Five suitability classes: VS(0.9), S(0.7), MS(0.5), mS(0.3), NS(0.1)."
GFN Calculation Factors,YF_world_avg / Reference_yields,"Pre-computed world-average yields for grazing land, forest land, and fishing grounds used in the National Footprint and Biocapacity Accounts. Includes yield factors and equivalence factors by year.",https://data.footprintnetwork.org/,,"Free Public Data Package or Calculation Factors download upon license agreement at footprintnetwork.org/licenses/calculation-factors-free/."
UNECE/FAO TBFRA - Forest NAI,Forest_NAI / Y_W_forest,"Net Annual Increment (NAI) for temperate and boreal forests. World average: 1.81 m3/ha/yr of harvestable wood. Used as denominator for forest product Footprint calculation.",https://unece.org/forests,,"Temperate and Boreal Forest Resource Assessment 2000. Used with FAO GFSM (1998) tropical data. Complements IPCC tropical growth rates."
Khatiwala et al. 2009 - Ocean CO2 Uptake,S_Ocean / Ocean_absorption,"Time-varying ocean CO2 uptake fraction (28-35% of anthropogenic emissions). Required to compute net CO2 needing terrestrial sequestration in the carbon Footprint formula.",,,Published in Nature 2009. Time series of ocean CO2 sink (Pg C/yr). Divide by CDIAC total anthropogenic emissions for fraction. Alternative: use IPCC constant ~35%.
Mancini et al. - Forest Carbon Sequestration,AFCS / Y_C,"Average Forest-Carbon Sequestration rate: 0.73 ± 0.37 t C/ha/yr for world-average forests. Distinguishes primary, secondary, and plantation forests. Includes fire, soil, and harvested wood product emissions.",,,"Published constant used from NFA 2016 onwards. Earlier accounts used IPCC rates across 26 biomes. Key denominator in carbon Footprint: EF_C = CO2 * (1 - S_Ocean) / Y_C * EQF_forest."
